VehicleCount,Density,Stopped,WrongParked,EstSpeed,Lanes,RoadWidth,HasMedian,IsDivided,CarRatio,BikeRatio,BusRatio,TruckRatio,VehicleMix,Pedestrians,NMVCount,Signals,PeakHour,TimeOfDayCode,WeatherImpact,WeatherCode,CityTypeCode,RoadTypeCode,RoadTypeName,LaneDisciplineCode,PolicySens_OneWay,PolicySens_NoParking,PolicySens_PeakRestr,CongestionScore
34.9,5.71,0.3,0.0,85.3,6,21.0,1.0,1.0,0.689,0.006,0.067,0.238,0.311,1.1,0.2,1,0.2,1,0.5,1,1,0,highway,0.391,0.099,0.259,0.551,42.15
31.0,3.79,0.7,0.2,75.5,8,28.0,1.0,1.0,0.773,0.019,0.07,0.138,0.227,0.3,0.6,1,1.0,2,0.0,0,2,0,highway,0.58,0.165,0.182,0.578,31.7
15.2,2.89,0.3,0.1,115.5,5,17.5,1.0,1.0,0.73,0.022,0.062,0.186,0.27,2.2,0.3,0,0.0,0,0.0,0,0,0,highway,0.557,0.202,0.175,0.539,16.18
104.6,20.33,0.8,0.6,72.6,5,17.5,1.0,1.0,0.703,0.035,0.125,0.138,0.297,2.3,3.5,0,1.0,2,0.0,0,0,0,highway,0.639,0.081,0.25,0.534,85.96
20.2,3.41,0.1,0.0,102.8,6,21.0,1.0,1.0,0.643,0.035,0.073,0.249,0.357,1.9,0.7,0,0.2,1,0.0,0,4,0,highway,0.521,0.126,0.176,0.481,19.19
48.0,8.23,1.9,0.6,34.2,6,21.0,1.0,1.0,0.728,0.011,0.068,0.193,0.272,2.4,0.5,0,1.0,2,0.5,1,0,0,highway,0.774,0.119,0.174,0.499,72.58
34.2,4.8,0.3,0.1,79.5,7,24.5,1.0,1.0,0.723,0.002,0.106,0.169,0.277,0.7,0.1,0,0.2,1,0.5,1,0,0,highway,0.475,0.177,0.255,0.592,38.02
24.2,5.04,0.5,0.2,56.3,5,17.5,1.0,1.0,0.704,0.002,0.065,0.229,0.296,0.8,0.1,0,0.2,1,0.5,1,3,0,highway,0.502,0.043,0.18,0.633,42.31
60.2,9.96,3.0,0.5,57.3,6,21.0,1.0,1.0,0.671,0.019,0.063,0.247,0.329,1.0,1.1,1,1.0,3,0.0,0,4,0,highway,0.479,0.003,0.164,0.538,65.19
44.4,8.61,0.4,0.5,57.8,5,17.5,1.0,1.0,0.662,0.031,0.133,0.174,0.338,1.1,1.3,0,1.0,2,0.5,1,1,0,highway,0.4,0.174,0.191,0.581,61.72
40.2,8.1,0.9,0.4,112.1,5,17.5,1.0,1.0,0.622,0.036,0.061,0.281,0.378,0.5,1.5,0,0.2,1,0.0,0,0,0,highway,0.672,0.024,0.111,0.543,35.71
12.0,1.7,0.2,0.1,104.5,7,24.5,1.0,1.0,0.586,0.036,0.139,0.238,0.414,0.7,0.4,0,0.0,0,0.0,0,1,0,highway,0.433,0.094,0.104,0.536,14.35
10.7,2.68,0.0,0.0,118.6,4,14.0,1.0,1.0,0.642,0.027,0.106,0.225,0.358,0.8,0.3,0,0.2,1,0.0,0,2,0,highway,0.44,0.101,0.196,0.588,14.4
7.4,1.03,0.0,0.0,120.1,7,24.5,1.0,1.0,0.755,0.025,0.09,0.129,0.245,0.8,0.2,0,0.0,0,0.0,0,2,0,highway,0.431,0.053,0.176,0.54,10.45
54.3,7.19,2.3,0.1,25.5,8,28.0,1.0,1.0,0.688,0.019,0.069,0.224,0.312,0.3,1.1,0,1.0,2,1.0,2,0,0,highway,0.689,0.089,0.241,0.567,97.98
43.0,5.97,0.5,0.1,51.4,7,24.5,1.0,1.0,0.739,0.004,0.119,0.138,0.261,0.5,0.2,0,1.0,2,0.0,0,1,0,highway,0.508,0.093,0.222,0.513,42.48
21.1,3.19,0.6,0.3,65.5,7,24.5,1.0,1.0,0.691,0.027,0.127,0.154,0.309,0.3,0.6,1,0.2,1,0.5,1,2,0,highway,0.314,0.039,0.174,0.599,39.26
24.2,4.12,0.8,0.3,56.9,6,21.0,1.0,1.0,0.748,0.035,0.087,0.13,0.252,2.1,0.9,1,0.2,1,1.0,2,1,0,highway,0.419,0.132,0.175,0.612,55.35
31.3,8.03,0.5,0.1,31.1,4,14.0,1.0,1.0,0.69,0.033,0.139,0.138,0.31,1.2,1.1,1,1.0,2,0.5,1,3,0,highway,0.579,0.035,0.207,0.562,67.25
22.5,3.24,0.1,0.3,36.1,7,24.5,1.0,1.0,0.597,0.032,0.111,0.259,0.403,0.7,0.7,1,1.0,2,0.5,1,2,0,highway,0.468,0.149,0.252,0.532,51.18
48.1,9.53,2.0,0.3,62.4,5,17.5,1.0,1.0,0.68,0.002,0.109,0.209,0.32,1.4,0.1,1,1.0,2,0.0,0,1,0,highway,0.505,0.092,0.247,0.609,54.68
39.3,5.53,0.1,0.1,87.2,7,24.5,1.0,1.0,0.716,0.03,0.129,0.125,0.284,1.8,1.2,1,0.2,1,0.5,1,4,0,highway,0.388,0.131,0.149,0.653,45.07
15.3,1.96,0.6,0.3,27.3,8,28.0,1.0,1.0,0.655,0.024,0.099,0.222,0.345,1.0,0.4,0,1.0,2,1.0,2,2,0,highway,0.314,0.128,0.204,0.556,56.02
14.5,1.78,0.1,0.0,79.9,8,28.0,1.0,1.0,0.661,0.018,0.116,0.205,0.339,1.4,0.3,1,0.2,1,0.0,0,2,0,highway,0.491,0.16,0.171,0.542,17.36
65.8,10.99,1.8,0.3,42.3,6,21.0,1.0,1.0,0.653,0.008,0.089,0.25,0.347,2.0,0.5,0,1.0,2,0.0,0,0,0,highway,0.591,0.055,0.219,0.619,66.01
37.0,7.84,0.0,0.3,46.2,5,17.5,1.0,1.0,0.663,0.025,0.072,0.24,0.337,0.8,1.0,0,1.0,2,0.0,0,4,0,highway,0.471,0.08,0.215,0.512,44.97
11.3,2.33,0.3,0.0,87.0,5,17.5,1.0,1.0,0.662,0.047,0.106,0.184,0.338,0.5,0.6,0,0.2,1,0.0,0,2,0,highway,0.466,0.145,0.108,0.564,14.81
35.6,6.4,0.9,0.3,46.1,6,21.0,1.0,1.0,0.71,0.027,0.073,0.19,0.29,1.6,1.0,0,1.0,3,0.0,0,3,0,highway,0.546,0.038,0.238,0.512,44.52
79.7,11.73,1.8,0.7,44.3,7,24.5,1.0,1.0,0.698,0.034,0.087,0.181,0.302,1.7,2.8,0,1.0,2,0.0,0,4,0,highway,0.381,0.11,0.196,0.614,76.93
48.6,12.39,0.3,0.3,66.6,4,14.0,1.0,1.0,0.625,0.008,0.116,0.251,0.375,0.2,0.4,0,0.2,1,0.0,0,0,0,highway,0.527,0.092,0.141,0.534,49.27
5.1,0.74,0.0,0.0,116.8,7,24.5,1.0,1.0,0.664,0.037,0.088,0.211,0.336,0.4,0.2,0,0.0,0,0.0,0,2,0,highway,0.363,0.092,0.212,0.577,9.79
51.6,8.86,1.4,0.5,55.5,6,21.0,1.0,1.0,0.689,0.018,0.068,0.224,0.311,1.3,1.0,0,1.0,2,0.0,0,1,0,highway,0.242,0.207,0.133,0.61,55.74
25.2,4.2,0.4,0.2,80.0,6,21.0,1.0,1.0,0.656,0.045,0.073,0.226,0.344,0.8,1.1,1,0.2,1,0.5,1,4,0,highway,0.453,0.151,0.193,0.474,34.44
11.4,1.9,0.2,0.1,107.1,6,21.0,1.0,1.0,0.729,0.025,0.138,0.108,0.271,1.3,0.3,0,0.0,0,0.0,0,4,0,highway,0.588,0.045,0.189,0.619,12.94
54.8,7.04,1.9,0.0,72.9,8,28.0,1.0,1.0,0.66,0.014,0.091,0.235,0.34,1.8,0.8,0,1.0,2,0.0,0,1,0,highway,0.447,0.115,0.223,0.595,46.92
25.8,6.68,0.6,0.3,40.2,4,14.0,1.0,1.0,0.702,0.022,0.123,0.153,0.298,1.3,0.6,1,0.2,1,1.0,2,1,0,highway,0.503,0.089,0.191,0.527,69.44
30.0,4.32,0.6,0.0,30.2,7,24.5,1.0,1.0,0.62,0.026,0.119,0.236,0.38,1.1,0.8,1,1.0,3,1.0,2,2,0,highway,0.46,0.093,0.197,0.461,74.25
27.0,3.39,0.0,0.1,40.3,8,28.0,1.0,1.0,0.758,0.002,0.136,0.104,0.242,1.3,0.1,0,1.0,2,0.0,0,2,0,highway,0.537,0.207,0.236,0.559,33.94
32.0,4.7,1.1,0.1,68.0,7,24.5,1.0,1.0,0.65,0.023,0.12,0.207,0.35,0.4,0.8,0,1.0,2,0.0,0,2,0,highway,0.605,0.181,0.144,0.567,31.75
41.4,6.93,1.1,0.0,49.1,6,21.0,1.0,1.0,0.732,0.042,0.065,0.161,0.268,0.5,1.8,1,1.0,2,0.0,0,3,0,highway,0.565,0.131,0.189,0.578,49.69
43.0,8.43,0.8,0.3,91.9,5,17.5,1.0,1.0,0.669,0.029,0.048,0.253,0.331,1.2,1.2,0,0.2,1,0.0,0,1,0,highway,0.537,0.15,0.165,0.505,37.73
101.9,25.02,2.3,0.3,63.0,4,14.0,1.0,1.0,0.678,0.034,0.1,0.187,0.322,0.3,3.4,0,1.0,2,0.0,0,0,0,highway,0.597,0.035,0.207,0.477,97.3
23.5,3.09,0.5,0.0,97.9,8,28.0,1.0,1.0,0.762,0.016,0.095,0.127,0.238,1.2,0.4,1,0.2,1,0.0,0,2,0,highway,0.315,0.054,0.118,0.575,25.95
17.3,3.55,0.3,0.1,88.8,5,17.5,1.0,1.0,0.677,0.008,0.109,0.206,0.323,1.0,0.1,0,0.2,1,0.0,0,3,0,highway,0.509,0.04,0.158,0.469,19.0
64.4,13.62,2.9,0.4,50.6,5,17.5,1.0,1.0,0.727,0.011,0.073,0.188,0.273,0.2,0.8,1,1.0,3,0.0,0,3,0,highway,0.567,0.087,0.244,0.546,76.06
6.2,0.95,0.1,0.0,64.6,7,24.5,1.0,1.0,0.609,0.02,0.143,0.229,0.391,0.3,0.1,0,0.0,0,1.0,2,4,0,highway,0.529,0.11,0.27,0.493,22.49
106.2,13.88,1.9,0.4,48.1,7,24.5,1.0,1.0,0.662,0.002,0.085,0.252,0.338,2.1,0.2,0,1.0,2,0.0,0,0,0,highway,0.788,0.098,0.219,0.606,80.48
18.0,2.16,0.0,0.0,97.6,8,28.0,1.0,1.0,0.728,0.004,0.134,0.134,0.272,1.2,0.1,1,0.2,1,0.0,0,2,0,highway,0.303,0.12,0.099,0.523,20.42
27.4,3.68,0.0,0.2,111.6,7,24.5,1.0,1.0,0.759,0.018,0.106,0.117,0.241,2.3,0.5,0,0.2,1,0.0,0,0,0,highway,0.459,0.098,0.178,0.614,22.91
42.5,10.36,0.5,0.2,70.7,4,14.0,1.0,1.0,0.757,0.018,0.078,0.146,0.243,0.3,0.8,1,0.2,1,0.0,0,4,0,highway,0.472,0.09,0.202,0.629,43.9
8.9,1.11,0.0,0.0,113.1,8,28.0,1.0,1.0,0.636,0.025,0.107,0.232,0.364,1.8,0.2,1,0.0,0,0.0,0,1,0,highway,0.543,0.15,0.163,0.504,12.73
55.0,6.92,1.4,0.1,75.9,8,28.0,1.0,1.0,0.72,0.012,0.13,0.138,0.28,0.0,0.6,1,1.0,2,0.0,0,1,0,highway,0.557,0.116,0.249,0.581,48.34
43.1,6.5,0.5,0.4,91.5,7,24.5,1.0,1.0,0.712,0.006,0.125,0.157,0.288,0.7,0.3,1,0.2,1,0.0,0,4,0,highway,0.549,0.156,0.131,0.525,38.78
52.8,6.69,0.7,0.5,43.2,8,28.0,1.0,1.0,0.71,0.004,0.112,0.174,0.29,0.4,0.2,1,1.0,3,0.0,0,2,0,highway,0.526,0.065,0.251,0.584,56.4
50.0,6.35,0.3,0.2,62.6,8,28.0,1.0,1.0,0.654,0.026,0.113,0.208,0.346,0.2,1.3,1,1.0,2,0.0,0,4,0,highway,0.446,0.132,0.122,0.446,47.95
30.1,4.32,1.1,0.2,59.1,7,24.5,1.0,1.0,0.641,0.027,0.108,0.223,0.359,1.5,0.8,1,0.2,1,1.0,2,0,0,highway,0.726,0.022,0.271,0.546,57.27
21.0,4.33,0.3,0.0,83.7,5,17.5,1.0,1.0,0.599,0.043,0.11,0.249,0.401,1.0,0.9,0,0.2,1,0.0,0,2,0,highway,0.506,0.151,0.157,0.613,21.83
61.5,10.81,0.6,0.3,34.8,6,21.0,1.0,1.0,0.647,0.033,0.051,0.27,0.353,1.7,2.1,0,1.0,2,0.5,1,1,0,highway,0.463,0.122,0.267,0.625,84.39
18.3,4.54,0.3,0.3,58.5,4,14.0,1.0,1.0,0.599,0.043,0.089,0.269,0.401,1.5,0.8,1,0.2,1,1.0,2,2,0,highway,0.562,0.121,0.202,0.576,46.28
24.4,4.2,0.2,0.1,81.8,6,21.0,1.0,1.0,0.716,0.004,0.136,0.144,0.284,0.2,0.1,1,0.2,1,0.0,0,1,0,highway,0.445,0.123,0.206,0.527,26.1
5.7,0.71,0.1,0.0,82.2,8,28.0,1.0,1.0,0.715,0.032,0.092,0.161,0.285,1.4,0.2,0,0.0,0,0.0,0,2,0,highway,0.392,0.115,0.303,0.609,10.07
10.7,1.55,0.2,0.0,91.2,7,24.5,1.0,1.0,0.648,0.019,0.131,0.203,0.352,0.0,0.2,0,0.0,0,0.0,0,1,0,highway,0.408,0.024,0.156,0.492,13.51
44.2,11.77,0.8,0.2,65.6,4,14.0,1.0,1.0,0.709,0.043,0.068,0.18,0.291,0.1,2.0,0,1.0,2,0.0,0,4,0,highway,0.584,0.165,0.233,0.533,48.9
21.0,5.42,0.4,0.1,81.5,4,14.0,1.0,1.0,0.733,0.047,0.074,0.147,0.267,0.2,1.0,0,0.2,1,0.0,0,4,0,highway,0.378,0.096,0.116,0.588,24.9
8.7,1.07,0.1,0.0,88.1,8,28.0,1.0,1.0,0.706,0.035,0.086,0.173,0.294,1.6,0.3,0,0.0,0,0.5,1,1,0,highway,0.36,0.085,0.128,0.504,15.89
44.0,5.69,1.8,0.4,52.6,8,28.0,1.0,1.0,0.685,0.051,0.071,0.193,0.315,0.4,2.3,1,1.0,2,0.0,0,2,0,highway,0.591,0.124,0.313,0.545,51.12
92.0,18.57,1.4,0.7,52.2,5,17.5,1.0,1.0,0.67,0.013,0.105,0.212,0.33,0.7,1.2,1,1.0,3,0.0,0,4,0,highway,0.476,0.172,0.283,0.532,91.45
22.6,2.8,0.1,0.1,77.2,8,28.0,1.0,1.0,0.77,0.025,0.093,0.112,0.23,1.1,0.6,0,0.2,1,0.0,0,1,0,highway,0.365,0.203,0.269,0.522,21.72
9.1,1.3,0.0,0.1,83.5,7,24.5,1.0,1.0,0.68,0.01,0.077,0.233,0.32,0.8,0.1,0,0.0,0,0.0,0,3,0,highway,0.539,0.127,0.227,0.606,10.74
43.6,5.51,1.8,0.6,35.8,8,28.0,1.0,1.0,0.707,0.037,0.13,0.126,0.293,0.6,1.6,0,1.0,3,0.5,1,4,0,highway,0.521,0.159,0.152,0.519,69.53
31.6,4.87,1.6,0.2,41.5,6,21.0,1.0,1.0,0.66,0.007,0.093,0.24,0.34,2.4,0.2,0,1.0,2,1.0,2,0,0,highway,0.562,0.076,0.244,0.523,66.24
39.8,5.08,0.4,0.0,53.1,8,28.0,1.0,1.0,0.609,0.024,0.116,0.251,0.391,0.2,1.0,1,1.0,2,0.0,0,3,0,highway,0.678,0.124,0.268,0.526,42.01
47.8,6.7,0.8,0.3,78.0,7,24.5,1.0,1.0,0.768,0.011,0.091,0.13,0.232,0.4,0.5,1,0.2,1,0.0,0,4,0,highway,0.451,0.097,0.284,0.492,41.25
101.8,26.29,1.4,0.4,50.3,4,14.0,1.0,1.0,0.661,0.036,0.101,0.202,0.339,1.2,3.8,1,1.0,3,0.0,0,0,0,highway,0.645,0.037,0.204,0.599,100.0
55.3,9.32,3.6,0.9,22.9,6,21.0,1.0,1.0,0.684,0.045,0.139,0.132,0.316,1.3,2.5,0,1.0,2,1.0,2,4,0,highway,0.426,0.072,0.136,0.493,100.0
7.9,1.06,0.1,0.0,95.7,7,24.5,1.0,1.0,0.751,0.021,0.107,0.121,0.249,0.4,0.2,0,0.0,0,0.0,0,2,0,highway,0.562,0.049,0.226,0.593,9.5
33.6,6.93,0.3,0.4,40.3,5,17.5,1.0,1.0,0.727,0.037,0.118,0.118,0.273,1.8,1.3,1,1.0,3,0.5,1,1,0,highway,0.484,0.169,0.261,0.51,63.75
52.6,7.87,1.9,0.2,59.8,7,24.5,1.0,1.0,0.708,0.033,0.058,0.201,0.292,1.4,1.8,0,1.0,2,0.0,0,4,0,highway,0.474,0.11,0.204,0.62,52.42
9.5,2.43,0.1,0.0,80.0,4,14.0,1.0,1.0,0.626,0.034,0.104,0.236,0.374,0.8,0.3,0,0.0,0,0.5,1,1,0,highway,0.293,0.077,0.115,0.565,21.24
42.1,6.99,0.8,0.1,83.9,6,21.0,1.0,1.0,0.662,0.017,0.07,0.251,0.338,1.4,0.7,1,0.2,1,0.0,0,0,0,highway,0.689,0.117,0.107,0.596,36.14
67.8,18.48,2.0,0.2,59.2,4,14.0,1.0,1.0,0.704,0.016,0.146,0.134,0.296,1.7,1.2,0,1.0,2,0.0,0,4,0,highway,0.571,0.138,0.173,0.589,76.91
79.8,15.91,2.6,0.7,46.0,5,17.5,1.0,1.0,0.699,0.011,0.059,0.23,0.301,1.7,0.9,0,1.0,2,0.0,0,0,0,highway,0.642,0.033,0.208,0.541,78.96
28.4,7.2,0.2,0.2,119.7,4,14.0,1.0,1.0,0.651,0.031,0.092,0.225,0.349,0.1,0.9,0,0.2,1,0.0,0,4,0,highway,0.5,0.167,0.215,0.49,29.16
38.1,4.72,0.1,0.2,64.8,8,28.0,1.0,1.0,0.74,0.011,0.075,0.175,0.26,0.2,0.4,0,1.0,2,0.0,0,3,0,highway,0.515,0.001,0.198,0.497,33.37
28.0,7.13,0.6,0.1,72.0,4,14.0,1.0,1.0,0.736,0.023,0.084,0.157,0.264,0.2,0.6,0,0.2,1,0.0,0,4,0,highway,0.563,0.0,0.138,0.602,31.1
9.7,2.43,0.1,0.1,79.1,4,14.0,1.0,1.0,0.701,0.03,0.06,0.21,0.299,0.8,0.3,0,0.2,1,0.5,1,2,0,highway,0.468,0.064,0.219,0.595,17.69
16.2,3.99,0.7,0.1,22.2,4,14.0,1.0,1.0,0.74,0.018,0.101,0.14,0.26,1.5,0.3,1,1.0,2,1.0,2,3,0,highway,0.435,0.111,0.227,0.53,68.63
21.2,4.23,0.3,0.1,122.0,5,17.5,1.0,1.0,0.664,0.006,0.122,0.208,0.336,0.6,0.1,1,0.2,1,0.0,0,3,0,highway,0.568,0.0,0.347,0.583,23.32
77.7,17.09,4.2,0.8,47.7,5,17.5,1.0,1.0,0.683,0.02,0.121,0.176,0.317,0.2,1.7,1,1.0,2,0.5,1,0,0,highway,0.587,0.097,0.124,0.532,100.0
61.2,7.51,3.2,0.3,32.7,8,28.0,1.0,1.0,0.744,0.004,0.062,0.19,0.256,1.1,0.3,1,1.0,2,1.0,2,0,0,highway,0.675,0.186,0.153,0.497,100.0
56.1,9.14,0.1,0.3,51.7,6,21.0,1.0,1.0,0.655,0.002,0.114,0.229,0.345,2.1,0.1,1,1.0,2,0.0,0,0,0,highway,0.592,0.057,0.112,0.601,56.3
37.9,5.38,0.7,0.1,97.1,7,24.5,1.0,1.0,0.688,0.034,0.136,0.141,0.312,1.5,1.3,1,0.2,1,0.0,0,1,0,highway,0.419,0.113,0.121,0.56,35.29
86.3,17.21,1.3,0.4,46.0,5,17.5,1.0,1.0,0.693,0.044,0.067,0.196,0.307,1.7,3.8,0,1.0,3,0.0,0,1,0,highway,0.487,0.066,0.188,0.524,82.38
32.8,5.57,0.8,0.3,61.2,6,21.0,1.0,1.0,0.705,0.036,0.093,0.167,0.295,0.5,1.2,1,1.0,2,0.0,0,1,0,highway,0.488,0.12,0.189,0.605,41.8
71.9,10.31,0.5,0.2,70.9,7,24.5,1.0,1.0,0.63,0.011,0.134,0.225,0.37,0.6,0.8,0,1.0,2,0.0,0,0,0,highway,0.646,0.213,0.083,0.515,55.21
102.2,20.73,1.8,0.4,71.2,5,17.5,1.0,1.0,0.638,0.016,0.112,0.234,0.362,1.5,1.7,1,1.0,2,0.0,0,0,0,highway,0.538,0.108,0.217,0.484,94.14
2.7,0.46,0.0,0.0,92.5,6,21.0,1.0,1.0,0.657,0.032,0.152,0.16,0.343,0.7,0.1,1,0.0,0,0.5,1,2,0,highway,0.427,0.085,0.301,0.613,13.16
4.5,0.73,0.0,0.0,121.9,6,21.0,1.0,1.0,0.673,0.031,0.12,0.176,0.327,1.1,0.1,1,0.0,0,0.0,0,3,0,highway,0.548,0.017,0.173,0.564,10.12
7.4,1.43,0.0,0.0,68.8,5,17.5,1.0,1.0,0.771,0.031,0.076,0.122,0.229,0.2,0.2,1,0.0,0,0.5,1,1,0,highway,0.333,0.126,0.194,0.573,24.27
24.5,6.03,0.1,0.1,88.6,4,14.0,1.0,1.0,0.675,0.033,0.057,0.235,0.325,1.3,0.8,1,0.2,1,0.0,0,3,0,highway,0.584,0.015,0.131,0.551,26.43
27.7,6.59,0.8,0.2,76.9,4,14.0,1.0,1.0,0.615,0.002,0.128,0.255,0.385,0.6,0.1,0,0.2,1,0.5,1,1,0,highway,0.352,0.129,0.211,0.467,40.52
41.5,5.33,0.0,0.3,85.9,8,28.0,1.0,1.0,0.717,0.05,0.075,0.159,0.283,1.8,2.1,0,0.2,1,0.0,0,1,0,highway,0.576,0.056,0.221,0.597,31.49
50.4,7.23,1.2,0.1,58.0,7,24.5,1.0,1.0,0.752,0.027,0.081,0.14,0.248,0.6,1.4,0,1.0,2,0.0,0,1,0,highway,0.336,0.168,0.184,0.614,50.01
28.5,6.96,0.7,0.0,120.8,4,14.0,1.0,1.0,0.643,0.004,0.107,0.245,0.357,1.1,0.1,0,0.2,1,0.0,0,3,0,highway,0.443,0.097,0.197,0.598,29.94
22.3,3.33,0.5,0.1,101.0,7,24.5,1.0,1.0,0.587,0.035,0.1,0.278,0.413,1.6,0.8,1,0.2,1,0.0,0,3,0,highway,0.539,0.111,0.145,0.567,23.83
53.2,9.12,0.8,0.4,58.2,6,21.0,1.0,1.0,0.777,0.01,0.053,0.16,0.223,0.7,0.6,1,1.0,3,0.0,0,3,0,highway,0.58,0.193,0.167,0.574,54.55
